,dti,emp_length,issue_d,loan_amnt,purpose,rejected
63,6.87,0,7/1/2016,6000,debt_consolidation,1
65,65.3,0,7/1/2016,15000,debt_consolidation,1
66,30.82,0,7/1/2016,18000,debt_consolidation,0
68,3.51,5,7/1/2016,3000,debt_consolidation,1
69,43.33,5,7/1/2016,16575,credit_card,1
71,47.38,0,7/1/2016,40000,debt_consolidation,1
72,2.4,,7/1/2016,6000,medical,1
73,16.96,0,7/1/2016,6000,home_improvement,0
74,22.06,0,7/1/2016,15000,debt_consolidation,1
75,16.59,0,7/1/2016,1500,other,0
76,2,0,7/1/2016,3000,other,1
77,13.15,0,7/1/2016,1000,moving,0
78,15.32,4,7/1/2016,25000,Debt consolidation,1
79,9.15,0,7/1/2016,10000,debt_consolidation,1
80,21.21,0,7/1/2016,1000,other,1
82,10.45,5,7/1/2016,10000,home_improvement,0
83,0,0,7/1/2016,7325,debt_consolidation,1
84,20.52,0,7/1/2016,15000,credit_card,1
85,2.62,5,7/1/2016,1000,other,1
86,36.95,0,7/1/2016,8000,debt_consolidation,1
87,39.97,0,7/1/2016,2000,debt_consolidation,0
89,29.08,0,7/1/2016,6000,credit_card,1
90,34.29,0,7/1/2016,35000,debt_consolidation,1
91,29.66,5,7/1/2016,20000,debt_consolidation,0
92,24.97,,7/1/2016,2000,other,1
93,0,5,7/1/2016,3500,other,0
94,8.68,0,7/1/2016,3000,medical,1
95,113.8,0,7/1/2016,40000,debt_consolidation,1
96,42.83,0,7/1/2016,5000,debt_consolidation,1
97,2.86,0,7/1/2016,6000,vacation,1
98,46.57,0,7/1/2016,18000,debt_consolidation,1
99,14.52,0,7/1/2016,10000,debt_consolidation,1
100,6.08,5,7/1/2016,4000,car,0
101,22.12,0,7/1/2016,8000,other,1
102,24.53,0,7/1/2016,4000,debt_consolidation,1
103,34.08,0,7/1/2016,10000,debt_consolidation,1
106,14.41,5,7/1/2016,35000,home_improvement,0
107,4.07,0,7/1/2016,5000,other,1
108,22.13,0,7/1/2016,15000,credit_card,1
109,34.35,0,7/1/2016,5000,debt_consolidation,0
110,6.74,0,7/1/2016,15000,major_purchase,0
111,0.85,5,7/1/2016,1500,other,1
112,0.47,0,7/1/2016,5000,debt_consolidation,1
113,123.23,5,7/1/2016,5000,vacation,1
115,0.92,0,7/1/2016,5000,debt_consolidation,1
116,11.46,5,7/1/2016,10000,debt_consolidation,1
117,15.11,5,7/1/2016,5000,debt_consolidation,0
119,9.33,0,7/1/2016,2500,debt_consolidation,1
120,8.78,0,7/1/2016,4000,debt_consolidation,1
121,30.01,0,7/1/2016,16000,debt_consolidation,1
122,0,0,7/1/2016,1000,car,1
123,0,0,7/1/2016,1000,car,1
124,7.87,0,7/1/2016,35000,home_improvement,0
125,40.16,0,7/1/2016,20000,debt_consolidation,1
126,61.09,0,7/1/2016,1000,other,0
127,6.62,0,7/1/2016,20000,Business,1
128,9.53,0,7/1/2016,30000,other,0
130,30.04,0,7/1/2016,5000,debt_consolidation,0
131,12.58,0,7/1/2016,7250,debt_consolidation,0
133,35.14,5,7/1/2016,30000,debt_consolidation,1
134,65.72,0,7/1/2016,10000,debt_consolidation,0
135,46.91,5,7/1/2016,4000,debt_consolidation,1
136,61.28,0,7/1/2016,3000,home_improvement,0
137,2.72,5,7/1/2016,5500,car,1
138,35.99,0,7/1/2016,20000,debt_consolidation,1
139,65.36,0,7/1/2016,5000,debt_consolidation,1
140,2.45,0,7/1/2016,19000,other,1
141,3,0,7/1/2016,1000,medical,1
143,3.83,5,7/1/2016,6000,other,1
144,50.32,0,7/1/2016,10000,debt_consolidation,1
145,6.55,0,7/1/2016,5000,other,1
146,52.44,0,7/1/2016,10000,other,0
147,4.13,,7/1/2016,8000,Major purchase,1
148,37.16,5,7/1/2016,15000,credit_card,0
149,48.16,0,7/1/2016,17000,major_purchase,1
150,58.47,5,7/1/2016,1000,other,1
151,20.29,0,7/1/2016,1000,other,1
152,5.78,0,7/1/2016,10000,debt_consolidation,1
153,33.89,,7/1/2016,2000,debt_consolidation,1
154,8.07,0,7/1/2016,1000,debt_consolidation,1
155,34.84,0,7/1/2016,20000,debt_consolidation,1
156,10.61,0,7/1/2016,6000,other,1
158,40.86,0,7/1/2016,35000,debt_consolidation,1
160,37.42,0,7/1/2016,30000,debt_consolidation,1
161,42.56,0,7/1/2016,5000,credit_card,1
162,11.46,0,7/1/2016,3000,debt_consolidation,1
163,33.09,5,7/1/2016,35000,debt_consolidation,0
164,77.04,0,7/1/2016,8900,debt_consolidation,0
165,28.61,0,7/1/2016,5000,debt_consolidation,0
166,30.74,0,7/1/2016,10000,debt_consolidation,0
167,5.54,0,7/1/2016,10000,debt_consolidation,0
168,16.45,0,7/1/2016,4000,car,0
169,24.62,0,7/1/2016,30000,debt_consolidation,0
170,5.04,0,7/1/2016,2000,debt_consolidation,0
171,28.45,0,7/1/2016,20000,other,0
172,28.99,0,7/1/2016,15000,debt_consolidation,0
173,16.71,,7/1/2016,5500,car,0
174,0,0,7/1/2016,1500,moving,0
175,26.95,0,7/1/2016,5000,debt_consolidation,0
176,16.99,0,7/1/2016,25000,credit_card,0
177,35.63,0,7/1/2016,30000,debt_consolidation,0
178,33.56,0,7/1/2016,5000,debt_consolidation,0
179,25.23,0,7/1/2016,1000,home_improvement,0
180,1.12,0,7/1/2016,4000,major_purchase,0
181,24.95,5,7/1/2016,20000,debt_consolidation,0
182,2.91,5,7/1/2016,2000,other,0
183,20.91,0,7/1/2016,1750,car,0
184,13.14,6,7/1/2016,20000,Business,0
185,46.4,0,7/1/2016,25000,other,0
186,46.23,5,7/1/2016,13000,debt_consolidation,0
187,8.93,5,7/1/2016,14000,credit_card,0
188,17.98,5,7/1/2016,10000,debt_consolidation,0
189,27.22,0,7/1/2016,3500,other,0
190,22.34,0,7/1/2016,1200,vacation,0
191,5.18,0,7/1/2016,3000,other,0
192,28.22,0,7/1/2016,1000,other,0
193,1.4,0,7/1/2016,2000,car,0
194,4.33,5,7/1/2016,3500,credit_card,0
195,36.81,0,7/1/2016,18000,debt_consolidation,0
196,20.83,0,7/1/2016,10000,debt_consolidation,0
197,22.23,0,7/1/2016,7000,debt_consolidation,0
198,0,0,7/1/2016,8500,other,1
199,12.54,5,7/1/2016,10000,debt_consolidation,1
200,2.25,5,7/1/2016,1000,credit_card,1
201,26.07,3,7/1/2016,5000,Debt consolidation,1
202,34.9,5,7/1/2016,10000,other,1
203,11.89,5,7/1/2016,1500,other,1
204,10.92,0,7/1/2016,1000,debt_consolidation,1
205,13.84,0,7/1/2016,1000,major_purchase,1
206,38.51,0,7/1/2016,30000,credit_card,1
207,0.05,,7/1/2016,18000,other,1
208,20.79,0,7/1/2016,1000,other,0
209,26.19,0,7/1/2016,1000,car,0
210,55.63,0,7/1/2016,17000,debt_consolidation,0
211,2.71,5,7/1/2016,1200,debt_consolidation,0
212,39.88,0,7/1/2016,5000,debt_consolidation,0
213,33.72,0,7/1/2016,10000,debt_consolidation,0
214,23.62,0,7/1/2016,1000,major_purchase,0
215,7.74,0,7/1/2016,5000,other,0
216,20.76,0,7/1/2016,5000,credit_card,0
217,20.51,5,7/1/2016,4600,debt_consolidation,0
218,0.95,0,7/1/2016,10000,other,0
219,52.2,0,7/1/2016,15000,debt_consolidation,0
220,31.41,0,7/1/2016,16000,car,0
221,31.77,5,7/1/2016,5000,debt_consolidation,0
222,36.53,0,7/1/2016,5000,debt_consolidation,1
223,51.03,0,7/1/2016,17000,credit_card,1
224,54.68,0,7/1/2016,25000,house,1
225,39.6,0,7/1/2016,15000,debt_consolidation,1
227,20.36,5,7/1/2016,35000,debt_consolidation,1
228,22.81,0,7/1/2016,1000,moving,1
229,31.66,0,7/1/2016,3000,car,1
230,28.19,0,7/1/2016,10000,debt_consolidation,1
231,1.34,0,7/1/2016,3000,other,1
232,0.79,5,7/1/2016,10000,debt_consolidation,1
233,5.04,0,7/1/2016,20000,debt_consolidation,0
234,50.05,0,7/1/2016,6000,debt_consolidation,0
235,37.36,5,7/1/2016,4000,small_business,0
236,5.25,0,7/1/2016,25000,debt_consolidation,0
237,10.39,0,7/1/2016,10000,car,0
238,30.06,5,7/1/2016,35000,debt_consolidation,0
239,11.37,0,7/1/2016,15000,major_purchase,0
240,10.22,0,7/1/2016,25000,debt_consolidation,0
241,17.58,,7/1/2016,5000,debt_consolidation,0
242,15.9,0,7/1/2016,1000,debt_consolidation,0
243,31.79,0,7/1/2016,12000,debt_consolidation,0
244,12.39,5,7/1/2016,15000,credit_card,0
245,5.18,0,7/1/2016,10000,other,0
246,30,0,7/1/2016,5000,moving,0
247,3.45,0,7/1/2016,5500,small_business,0
248,0,5,7/1/2016,1000,debt_consolidation,0
249,0.7,0,7/1/2016,18000,other,0
250,7.91,0,7/1/2016,5000,other,0
251,16.12,0,7/1/2016,40000,small_business,0
252,47.3,0,7/1/2016,10000,debt_consolidation,0
253,11.06,5,7/1/2016,4000,debt_consolidation,0
254,10.39,5,7/1/2016,6000,credit_card,0
255,54.16,0,7/1/2016,1500,other,0
256,0,0,7/1/2016,5000,medical,0
257,8.45,0,7/1/2016,20000,debt_consolidation,0
258,20.41,5,7/1/2016,6000,credit_card,0
259,23.04,0,7/1/2016,35000,debt_consolidation,0
262,4.52,0,7/1/2016,10000,home_improvement,0
263,3.62,0,7/1/2016,20000,car,1
264,0,0,7/1/2016,40000,debt_consolidation,1
265,25.14,5,7/1/2016,1350,house,1
266,9.17,0,7/1/2016,6500,debt_consolidation,1
267,0,5,7/1/2016,1000,vacation,1
268,13.75,5,7/1/2016,12650,home_improvement,1
269,38.84,5,7/1/2016,5000,credit_card,1
270,10.76,0,7/1/2016,3500,other,1
271,7.36,0,7/1/2016,10000,debt_consolidation,1
272,0.82,0,7/1/2016,1000,other,1
273,35.43,0,7/1/2016,30000,debt_consolidation,1
274,30.29,0,7/1/2016,1000,medical,1
275,5.88,0,7/1/2016,1000,debt_consolidation,1
276,6.27,0,7/1/2016,15000,debt_consolidation,1
278,39.89,0,7/1/2016,40000,debt_consolidation,1
279,22.16,0,7/1/2016,1200,debt_consolidation,1
280,1.85,0,7/1/2016,40000,car,1
281,72.29,5,7/1/2016,5000,moving,1
282,58.47,5,7/1/2016,1000,moving,1
283,41.29,5,7/1/2016,15000,credit_card,1
284,46.35,,7/1/2016,1000,medical,0
285,3.23,0,7/1/2016,17500,car,0
286,10.17,,7/1/2016,5000,medical,0
287,0,5,7/1/2016,2500,car,0
289,197.82,5,7/1/2016,35000,debt_consolidation,0
290,20.88,0,7/1/2016,1000,debt_consolidation,0
291,0.55,,7/1/2016,3500,Car financing,0
292,9.62,0,7/1/2016,20000,debt_consolidation,0
293,3.02,0,7/1/2016,5000,debt_consolidation,0
294,20.63,0,7/1/2016,2000,debt_consolidation,0
295,35.42,5,7/1/2016,15000,debt_consolidation,0
296,52.81,0,7/1/2016,40000,debt_consolidation,0
297,31.46,0,7/1/2016,5000,credit_card,0
298,25.76,0,7/1/2016,15300,car,0
299,16.31,0,7/1/2016,2000,debt_consolidation,0
300,16.33,0,7/1/2016,6000,major_purchase,0
301,2.15,,7/1/2016,5000,home_improvement,0
302,13.28,0,7/1/2016,2500,other,0
303,18.43,0,7/1/2016,30000,debt_consolidation,0
305,23.7,0,7/1/2016,6000,debt_consolidation,0
306,0,0,7/1/2016,1000,debt_consolidation,0
307,10.82,0,7/1/2016,20000,debt_consolidation,1
308,8.4,0,7/1/2016,25000,credit_card,1
309,7.97,,7/1/2016,1000,medical,1
310,20.08,,7/1/2016,12000,home_improvement,1
311,6.92,0,7/1/2016,5000,debt_consolidation,1
313,5.49,0,7/1/2016,5000,debt_consolidation,1
314,8.74,0,7/1/2016,6000,home_improvement,1
315,17.44,0,7/1/2016,1000,debt_consolidation,1
316,24,0,7/1/2016,8000,debt_consolidation,1
317,54.3,0,7/1/2016,10000,debt_consolidation,1
318,0.63,0,7/1/2016,35000,major_purchase,1
319,79.78,0,7/1/2016,5000,debt_consolidation,1
320,48.97,5,7/1/2016,3000,other,1
321,2,0,7/1/2016,7000,other,1
322,18.37,0,7/1/2016,10000,debt_consolidation,1
323,12.03,0,7/1/2016,40000,credit_card,0
325,0,0,7/1/2016,2000,vacation,1
326,10.57,0,7/1/2016,14000,debt_consolidation,1
327,20.03,0,7/1/2016,40000,debt_consolidation,1
328,21.3,0,7/1/2016,1000,car,1
330,37.16,5,7/1/2016,1500,car,1
332,22.05,5,7/1/2016,10000,credit_card,0
333,2.88,0,7/1/2016,10000,car,1
335,0.31,0,7/1/2016,30000,debt_consolidation,1
336,14.2,0,7/1/2016,19000,debt_consolidation,1
337,5.14,0,7/1/2016,5000,other,1
338,37.67,0,7/1/2016,30000,credit_card,0
339,30.77,0,7/1/2016,16000,debt_consolidation,1
340,14.8,0,7/1/2016,5000,moving,1
341,13.53,0,7/1/2016,2000,major_purchase,1
342,7.8,0,7/1/2016,15000,debt_consolidation,0
343,11.52,0,7/1/2016,5000,debt_consolidation,1
344,50.34,0,7/1/2016,35000,debt_consolidation,1
346,29.94,0,7/1/2016,20000,car,1
347,34.81,0,7/1/2016,15000,other,0
348,21.78,5,7/1/2016,2000,moving,1
349,32.24,0,7/1/2016,8000,debt_consolidation,1
350,0,5,7/1/2016,5000,other,1
351,0.07,0,7/1/2016,15000,debt_consolidation,1
352,10.74,0,7/1/2016,10000,debt_consolidation,1
353,36.43,5,7/1/2016,12000,debt_consolidation,1
355,6.36,,7/1/2016,20000,other,1
357,38.37,0,7/1/2016,20000,debt_consolidation,1
358,33.23,0,7/1/2016,30000,credit_card,0
359,19.27,0,7/1/2016,1200,debt_consolidation,0
360,11.4,10,7/1/2016,25000,Other,0
361,34.57,0,7/1/2016,2500,moving,0
362,20.08,0,7/1/2016,5000,major_purchase,0
363,18.68,0,7/1/2016,18000,debt_consolidation,0
364,19.8,0,7/1/2016,4000,debt_consolidation,0
365,47.7,5,7/1/2016,16600,credit_card,0
366,70.09,0,7/1/2016,3000,debt_consolidation,0
367,9.66,,7/1/2016,15000,car,0
368,35.75,0,7/1/2016,19600,debt_consolidation,0
369,32.15,0,7/1/2016,2000,debt_consolidation,0
370,30.04,0,7/1/2016,30000,credit_card,0
371,19.86,5,7/1/2016,1000,debt_consolidation,0
373,1.15,0,7/1/2016,2000,moving,0
374,1.54,6,7/1/2016,12000,Debt consolidation,0
375,30.25,0,7/1/2016,2000,debt_consolidation,0
376,40.95,0,7/1/2016,5000,home_improvement,0
377,15.2,,7/1/2016,38000,Credit card refinancing,0
378,29.6,0,7/1/2016,10000,debt_consolidation,0
379,10.12,0,7/1/2016,4000,debt_consolidation,0
380,20.68,0,7/1/2016,20000,credit_card,0
381,24.34,0,7/1/2016,5000,debt_consolidation,0
382,2.46,0,7/1/2016,1000,debt_consolidation,0
383,5.2,0,7/1/2016,2000,moving,0
384,0.59,0,7/1/2016,5000,other,0
385,15.86,5,7/1/2016,3000,other,0
386,34.06,0,7/1/2016,9500,credit_card,0
387,50.35,0,7/1/2016,1000,other,0
388,1.63,10,7/1/2016,1200,Debt consolidation,0
389,15.29,0,7/1/2016,1200,other,0
390,19.43,5,7/1/2016,1000,vacation,0
391,7.87,0,7/1/2016,3000,debt_consolidation,0
392,19.52,0,7/1/2016,7000,debt_consolidation,0
393,4.61,0,7/1/2016,18000,moving,0
394,39.38,,7/1/2016,30000,debt_consolidation,0
395,39.04,,7/1/2016,5000,other,0
396,0.43,0,7/1/2016,25000,major_purchase,0
397,10.62,0,7/1/2016,10000,major_purchase,0
398,0.03,0,7/1/2016,2500,medical,0
399,33.04,0,7/1/2016,2000,debt_consolidation,0
401,3.26,0,7/1/2016,5000,other,0
402,29.32,5,7/1/2016,30000,debt_consolidation,0
403,6.69,5,7/1/2016,2500,other,0
405,6.92,0,7/1/2016,8000,debt_consolidation,0
406,19.27,1,7/1/2016,10000,Debt consolidation,0
408,41.6,0,7/1/2016,30000,debt_consolidation,0
409,9.79,5,7/1/2016,1000,other,0
410,12.1,0,7/1/2016,6000,other,0
411,64.96,0,7/1/2016,2500,debt_consolidation,0
412,40.78,5,7/1/2016,1000,medical,0
413,7.94,0,7/1/2016,40000,debt_consolidation,0
414,25.87,0,7/1/2016,1000,medical,0
415,9.21,0,7/1/2016,3000,debt_consolidation,0
416,11.24,0,7/1/2016,2500,debt_consolidation,0
417,52.48,0,7/1/2016,7000,debt_consolidation,0
420,7.75,0,7/1/2016,15000,debt_consolidation,0
421,0.9,5,7/1/2016,3000,credit_card,0
422,4.05,0,7/1/2016,20000,debt_consolidation,0
423,0.53,0,7/1/2016,40000,other,0
424,3.97,0,7/1/2016,2500,debt_consolidation,0
426,28.06,0,7/1/2016,5000,debt_consolidation,0
427,9.07,0,7/1/2016,2500,debt_consolidation,0
428,32.11,5,7/1/2016,3500,other,0
429,7.95,0,7/1/2016,10000,debt_consolidation,0
430,40.39,0,7/1/2016,5000,debt_consolidation,0
431,14.19,0,7/1/2016,1500,other,0
432,0,0,7/1/2016,2500,car,0
433,13.12,0,7/1/2016,20000,major_purchase,0
434,109.61,0,7/1/2016,10000,debt_consolidation,0
435,15.23,0,7/1/2016,2500,other,0
436,13.61,0,7/1/2016,5000,debt_consolidation,0
437,0,0,7/1/2016,1000,medical,0
438,34.67,5,7/1/2016,20000,debt_consolidation,0
439,25.42,5,7/1/2016,10000,debt_consolidation,0
440,5.66,0,7/1/2016,4000,debt_consolidation,0
441,0,0,7/1/2016,2000,debt_consolidation,0
442,39.24,0,7/1/2016,10000,debt_consolidation,0
443,21.9,0,7/1/2016,10000,debt_consolidation,0
444,55.07,5,7/1/2016,18000,credit_card,0
445,40.93,0,7/1/2016,12000,debt_consolidation,0
446,47.43,0,7/1/2016,20000,credit_card,0
447,3.3,0,7/1/2016,12000,debt_consolidation,0
448,51.4,5,7/1/2016,6000,other,0
449,17.66,0,7/1/2016,30000,debt_consolidation,0
450,29.65,0,7/1/2016,5000,debt_consolidation,0
452,24.45,0,7/1/2016,5000,other,0
453,13.17,0,7/1/2016,2000,debt_consolidation,0
454,12.68,5,7/1/2016,25000,house,0
455,0,0,7/1/2016,5000,other,0
456,19.41,5,7/1/2016,5000,credit_card,0
457,14.57,0,7/1/2016,3000,debt_consolidation,0
458,1.89,5,7/1/2016,2000,vacation,0
459,10.11,0,7/1/2016,30000,debt_consolidation,0
460,0.38,0,7/1/2016,15000,major_purchase,0
461,20.68,0,7/1/2016,12000,debt_consolidation,0
462,18.33,0,7/1/2016,5500,other,0
463,22.66,5,7/1/2016,10000,debt_consolidation,0
464,11.38,10,7/1/2016,8000,Debt consolidation,0
465,34.62,0,7/1/2016,40000,debt_consolidation,0
466,3.89,0,7/1/2016,25000,debt_consolidation,0
467,23.75,5,7/1/2016,6000,vacation,0
468,33.9,0,7/1/2016,1000,other,0
469,7.85,3,7/1/2016,15000,Credit card refinancing,0
471,165.82,0,7/1/2016,1000,other,0
472,2.32,0,7/1/2016,6500,other,0
473,8.52,0,7/1/2016,4000,debt_consolidation,0
474,31.56,5,7/1/2016,10000,debt_consolidation,0
475,74.48,0,7/1/2016,15000,house,0
476,19.08,0,7/1/2016,1000,other,0
477,17.65,0,7/1/2016,7000,debt_consolidation,0
478,11.3,0,7/1/2016,10000,credit_card,0
479,34.02,,7/1/2016,8000,debt_consolidation,0
480,29.54,0,7/1/2016,3000,other,0
481,38.65,0,7/1/2016,7000,home_improvement,0
483,13.17,0,7/1/2016,7000,medical,0
484,22.22,0,7/1/2016,10000,debt_consolidation,0
485,4.98,0,7/1/2016,1000,debt_consolidation,0
486,30.96,0,7/1/2016,3000,debt_consolidation,0
487,99.64,0,7/1/2016,5000,credit_card,0
488,11.52,10,7/1/2016,19000,Debt consolidation,0
489,13.2,5,7/1/2016,5000,medical,0
490,39.86,0,7/1/2016,5000,debt_consolidation,0
491,8.88,0,7/1/2016,5000,debt_consolidation,0
492,5.49,0,7/1/2016,6000,debt_consolidation,1
493,12.5,0,7/1/2016,3000,other,0
494,35.34,0,7/1/2016,30000,debt_consolidation,0
495,0,0,7/1/2016,20000,debt_consolidation,0
496,15.17,0,7/1/2016,10000,debt_consolidation,0
497,35.95,0,7/1/2016,5000,car,0
498,22.56,0,7/1/2016,8000,debt_consolidation,1
499,58.58,0,7/1/2016,2500,credit_card,0
500,0,0,7/1/2016,12000,home_improvement,0
501,3.82,0,7/1/2016,30000,debt_consolidation,0
502,49.77,0,7/1/2016,20000,debt_consolidation,0
503,43.42,0,7/1/2016,1500,other,1
504,12.2,0,7/1/2016,40000,debt_consolidation,0
505,31.39,0,7/1/2016,30000,credit_card,0
506,0,0,7/1/2016,5000,debt_consolidation,1
507,18.6,0,7/1/2016,5000,small_business,0
508,9.3,0,7/1/2016,2000,medical,0
509,26.24,0,7/1/2016,10000,debt_consolidation,0
510,31.22,0,7/1/2016,20000,car,0
511,51.31,0,7/1/2016,20000,debt_consolidation,0
512,2.64,9,7/1/2016,20000,Home improvement,0
514,12.45,0,7/1/2016,1200,debt_consolidation,0
515,37.12,0,7/1/2016,10000,credit_card,0
516,39.07,5,7/1/2016,7000,debt_consolidation,0
517,17.63,0,7/1/2016,2500,debt_consolidation,0
518,1.24,,7/1/2016,7000,debt_consolidation,0
519,14.1,0,7/1/2016,15000,debt_consolidation,0
520,44.63,0,7/1/2016,20000,debt_consolidation,0
521,55.85,0,7/1/2016,1000,debt_consolidation,0
522,30.42,5,7/1/2016,15000,debt_consolidation,0
523,16.83,,7/1/2016,30000,credit_card,0
524,17.82,0,7/1/2016,5000,credit_card,0
525,1,5,7/1/2016,5000,debt_consolidation,0
526,18.5,0,7/1/2016,12000,debt_consolidation,0
527,103.6,0,7/1/2016,15000,debt_consolidation,0
528,0.3,0,7/1/2016,3000,other,1
529,41.98,,7/1/2016,25000,debt_consolidation,1
530,34.21,5,7/1/2016,5000,other,1
531,13.79,0,7/1/2016,15000,debt_consolidation,1
532,0,0,7/1/2016,1500,major_purchase,1
533,5.26,0,7/1/2016,2000,other,1
535,0,0,7/1/2016,1000,debt_consolidation,1
536,24.88,0,7/1/2016,2000,home_improvement,1
537,22.61,0,7/1/2016,1200,debt_consolidation,1
538,13.02,0,7/1/2016,5000,debt_consolidation,1
539,85.43,0,7/1/2016,12000,debt_consolidation,1
540,28.25,0,7/1/2016,3000,vacation,1
541,12.5,0,7/1/2016,18000,vacation,1
542,17.92,0,7/1/2016,25000,debt_consolidation,1
543,25.94,5,7/1/2016,5000,debt_consolidation,1
545,35.61,0,7/1/2016,20000,debt_consolidation,1
546,35.16,5,7/1/2016,16000,credit_card,1
547,38.06,0,7/1/2016,15000,credit_card,1
548,24.21,5,7/1/2016,4000,debt_consolidation,1
549,9.07,0,7/1/2016,1000,other,1
550,23.21,0,7/1/2016,3000,debt_consolidation,1
551,33.08,0,7/1/2016,20000,debt_consolidation,1
552,45.7,5,7/1/2016,30000,debt_consolidation,1
553,37.08,0,7/1/2016,15000,other,1
554,66.65,0,7/1/2016,6500,debt_consolidation,1
555,56.14,0,7/1/2016,1000,medical,1
556,12.46,0,7/1/2016,2000,medical,1
558,15.78,,7/1/2016,4500,Credit card refinancing,1
559,26.33,0,7/1/2016,5000,credit_card,1
560,12.33,0,7/1/2016,2000,debt_consolidation,1
561,18.08,0,7/1/2016,10000,home_improvement,1
562,48.59,0,7/1/2016,1500,debt_consolidation,1
563,33.77,5,7/1/2016,7500,debt_consolidation,1
564,0,0,7/1/2016,5000,other,1
565,40.39,0,7/1/2016,10000,debt_consolidation,1
566,36.72,5,7/1/2016,2500,debt_consolidation,1
567,2.16,0,7/1/2016,5000,other,1
568,38.4,5,7/1/2016,5000,debt_consolidation,1
569,70.4,0,7/1/2016,5000,debt_consolidation,1
570,10.69,0,7/1/2016,1000,debt_consolidation,1
571,18.3,2,7/1/2016,15000,Debt consolidation,1
572,28.94,0,7/1/2016,20000,debt_consolidation,1
573,37.11,0,7/1/2016,1000,other,1
574,49.12,0,7/1/2016,20000,debt_consolidation,1
575,2.57,0,7/1/2016,20000,debt_consolidation,1
576,59.58,0,7/1/2016,20000,moving,1
577,14.42,10,7/1/2016,17000,Debt consolidation,1
578,21.07,0,7/1/2016,1000,debt_consolidation,1
579,0,0,7/1/2016,1500,debt_consolidation,1
580,12.68,0,7/1/2016,4000,major_purchase,1
581,19.44,5,7/1/2016,1000,debt_consolidation,1
582,7.61,3,7/1/2016,5000,Debt consolidation,1
583,40.81,0,7/1/2016,5000,debt_consolidation,1
584,48.47,0,7/1/2016,3000,medical,1
585,32.8,5,7/1/2016,30000,credit_card,1
586,46.82,0,7/1/2016,4000,debt_consolidation,1
588,3,5,7/1/2016,8000,debt_consolidation,1
589,11.25,5,7/1/2016,1500,other,1
590,129.19,0,7/1/2016,20000,debt_consolidation,1
591,9.24,5,7/1/2016,10000,credit_card,1
592,19.2,0,7/1/2016,5000,home_improvement,1
